,UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,FILTER12,FILTER13,FILTER14,pub,year
6965,227368001,The University of Texas-Pan American,University of Texas Pan American,1201 W. University Dr.,Edinburg,TX,785392999,1,"Public, 2",9149,11866,21015,0,0,0,0,0,0,0,0,0,1,1,1,1,2
6966,227377001,The University of Texas at Brownsville,UTB/TSC Main Campus,One West University Blvd.,BROWNSVILLE,TX,785204956,1,"Public, 2",5063,6880,11943,0,0,0,0,0,0,0,0,0,1,1,1,1,2
6968,227386001,Panola College,Panola College,1109 W PANOLA ST,CARTHAGE,TX,75633,4,"Public, 1",871,1693,2564,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6969,227401001,Paris Junior College,Main Campus,2400 CLARKSVILLE ST,PARIS,TX,754606298,4,"Public, 1",2020,3066,5086,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6976,227757001,Rice University,Main Campus,6100 S MAIN,HOUSTON,TX,77005,2,"Private nonprofit, 2",3772,2849,6621,0,0,0,0,0,0,0,0,0,1,1,1,2,2
6981,227845001,Saint Edward's University,Main Campus,3001 S CONGRESS AVE,AUSTIN,TX,787046489,2,"Private nonprofit, 2",1808,2878,4686,0,0,0,0,0,0,0,0,0,1,1,1,2,2
6982,227854001,St Philip's College,Main Campus,1801 MARTIN LUTHER KING DR,SAN ANTONIO,TX,782032098,4,"Public, 1",4618,5896,10514,0,1,0,0,0,0,0,0,0,1,1,1,1,1
6985,227881001,Sam Houston State University,Main Campus,1803 Ave I,HUNTSVILLE,TX,77340,1,"Public, 2",7710,11863,19573,0,0,0,0,0,0,1,0,0,1,1,1,1,2
6987,227924001,San Antonio College,Main Campus,1300 SAN PEDRO AVE,SAN ANTONIO,TX,782124299,4,"Public, 1",8830,12450,21280,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6988,227979001,San Jacinto Community College,Central Campus,8060 SPENCER HWY,PASADENA,TX,77505,4,"Public, 1",12350,15561,27911,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6993,228149001,St Mary's University,Main Campus,ONE CAMINO SANTA MARIA,SAN ANTONIO,TX,782288572,2,"Private nonprofit, 2",1750,1962,3712,0,0,0,0,4,8,1,13,11,1,1,1,2,2
7012,228325001,Southwestern Assemblies of God University,SAGU,1200 SYCAMORE,WAXAHACHIE,TX,75165,2,"Private nonprofit, 2",963,1021,1984,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7014,228431001,Stephen F Austin State University,Main Campus,1936 North St.,Nacogdoches,TX,75962,1,"Public, 2",4658,8143,12801,0,0,0,0,1,0,0,0,0,1,1,1,1,2
7015,228459001,Texas State University,Main Campus,601 UNIVERSITY DR,SAN MARCOS,TX,786664684,1,"Public, 2",15887,20852,36739,0,0,1,0,2,0,0,0,0,1,1,1,1,2
7024,228529001,Tarleton State University,Main Campus,1333 W. Washington,STEPHENVILLE,TX,764020000,1,"Public, 2",4559,7122,11681,0,3,0,1,3,1,0,6,3,1,1,1,1,2
7025,228529003,Tarleton State University,Tarleton - Terrell School of Clinical Laboratory Sciences - Fort Worth,1501 Enderly Place,Fort Worth,TX,76104,1,"Public, 2",4559,7122,11681,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7026,228529004,Tarleton State University,Tarleton State University - Hickman Building - Fort Worth,6777 Camp Bowie Suite 5000,Fort Worth,TX,76116,1,"Public, 2",4559,7122,11681,0,1,0,0,0,0,0,0,0,1,1,1,1,2
7027,228547002,Tarrant County College District,South Campus,5301 Campus Drive,Fort Worth,TX,761195998,4,"Public, 1",21176,29419,50595,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7028,228547003,Tarrant County College District,Northeast Campus,828 W. Harwood Road,Hurst,TX,760543299,4,"Public, 1",21176,29419,50595,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7029,228547004,Tarrant County College District,Northwest Campus,4801 Marine Creek Parkway,Fort Worth,TX,761793599,4,"Public, 1",21176,29419,50595,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7030,228547005,Tarrant County College District,Southeast Campus,2100 Southeast Parkway,Arlington,TX,760182907,4,"Public, 1",21176,29419,50595,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7031,228547006,Tarrant County College District,Tarrant County College Opportunity Center,5901 Fitzhugh,Fort Worth,TX,76119,4,"Public, 1",21176,29419,50595,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7032,228547007,Tarrant County College District,Trinity River Campus,300 Trinity Campus Circle,Fort Worth,TX,761021901,4,"Public, 1",21176,29419,50595,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7033,228608001,Temple College,Temple College Campus,2600 S 1ST ST,TEMPLE,TX,765047435,4,"Public, 1",1759,3441,5200,0,1,0,0,0,0,0,0,0,1,1,1,1,1
7034,228635001,University of Texas Southwestern Medical Center,Main Campus,5323 HARRY HINES BLVD,DALLAS,TX,753909029,1,"Public, 2",1185,1156,2341,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7035,228644001,The University of Texas Health Science Center at San Antonio,Long Campus,7703 FLOYD CURL DR,SAN ANTONIO,TX,782293900,1,"Public, 2",1186,1961,3147,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7041,228653001,The University of Texas Medical Branch,Main Campus,301 UNIVERSITY BLVD,GALVESTON,TX,775550129,1,"Public, 2",1027,2184,3211,0,1,0,0,0,0,0,3,0,1,1,1,1,2
7045,228699001,Texarkana College,Main Campus,2500 N ROBISON RD,TEXARKANA,TX,75599,4,"Public, 1",1485,2576,4061,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7046,228705001,Texas A & M University-Kingsville,Texas A&M University Kingsville,700 UNIVERSITY BLVD,KINGSVILLE,TX,78363,1,"Public, 2",6445,6801,13246,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7048,228723001,Texas A & M University-College Station,Texas A&M University,Main Campus,COLLEGE STATION,TX,77843,1,"Public, 2",32365,29277,61642,0,0,15,0,2,0,0,2,2,1,1,1,1,2
7050,228723003,Texas A & M University-College Station,Mitchell Campus,200 SEAWOLF PARKWAY,GALVESTON,TX,775531675,1,"Public, 2",32365,29277,61642,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7061,228769001,The University of Texas at Arlington,Main Campus,701 S NEDDERMAN DR,ARLINGTON,TX,76019,1,"Public, 2",16007,23733,39740,0,0,0,0,3,0,0,0,0,1,1,1,1,2
7064,228778001,The University of Texas at Austin,The University of Texas at Austin,Main Building Suite 400,AUSTIN,TX,78712,1,"Public, 2",25249,26064,51313,2,22,1,0,5,1,0,17,0,1,1,1,1,2
7065,228787001,The University of Texas at Dallas,Main Campus,800 W. Campbell,RICHARDSON,TX,75080,1,"Public, 2",13104,9991,23095,0,0,1,0,0,0,0,0,0,1,1,1,1,2
7066,228796001,The University of Texas at El Paso,Main Campus,500 W UNIVERSITY AVE,EL PASO,TX,799680691,1,"Public, 2",10622,12457,23079,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7069,228802001,The University of Texas at Tyler,Main Campus,3900 UNIVERSITY BLVD,TYLER,TX,757990001,1,"Public, 2",3305,4731,8036,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7075,228909001,University of North Texas Health Science Center,University of North Texas Health Science Center,3500 CAMP BOWIE BLVD,FORT WORTH,TX,761072699,1,"Public, 2",975,1268,2243,0,0,0,0,0,0,0,1,0,1,1,1,1,2
7078,229027001,The University of Texas at San Antonio,Main Campus,One UTSA Circle,San Antonio,TX,78249,1,"Public, 2",14537,14091,28628,0,0,1,0,0,4,0,0,2,1,1,1,1,2
7081,229063001,Texas Southern University,Main Campus,3100 CLEBURNE ST,HOUSTON,TX,77004,1,"Public, 2",3879,5354,9233,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7082,229115001,Texas Tech University,Texas Tech University - Lubbock,"150 Administration Building, Box 42005",LUBBOCK,TX,794092005,1,"Public, 2",19006,16152,35158,0,0,0,0,0,0,0,0,1,1,1,1,1,2
7083,229115004,Texas Tech University,TTU - El Paso,"9050 Viscount, Suite A625",El Paso,TX,79925,1,"Public, 2",19006,16152,35158,0,0,0,0,2,0,0,0,0,1,1,1,1,2
7087,229115008,Texas Tech University,TTU - Fredericksburg,2818 E U.S. Highway 290,Fredericksburg,TX,79925,1,"Public, 2",19006,16152,35158,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7090,229179001,Texas Woman's University,Main Campus,301 ADMINISTRATION DR,DENTON,TX,762045798,1,"Public, 2",1750,13321,15071,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7094,229300001,The University of Texas Health Science Center at Houston,The University of Texas Health Science Center at Houston - Main Campus,"7000 FANNIN, SUITE 1200",HOUSTON,TX,77030,1,"Public, 2",1622,2934,4556,0,4,0,2,4,0,0,2,0,1,1,1,1,2
7100,229319001,Texas State Technical College-Harlingen,Texas State Technical College Harlingen,1902 North Loop 499,HARLINGEN,TX,785503653,4,"Public, 1",2492,2733,5225,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7102,229328001,Texas State Technical College-West Texas,TSTC - WT Sweetwater Campus,300 Homer K. Taylor Drive,SWEETWATER,TX,79556,4,"Public, 1",876,577,1453,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7104,229328003,Texas State Technical College-West Texas,TSTC - WT Abilene Extension,650 E. Hwy 80,Abilene,TX,79601,4,"Public, 1",876,577,1453,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7106,229337001,Texas Tech University Health Sciences Center,Main Campus-Lubbock HSC,3601 4TH STREET,LUBBOCK,TX,794308310,1,"Public, 2",1555,3376,4931,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7107,229337002,Texas Tech University Health Sciences Center,Amarillo HSC Campus,1300 Coulter,Amarillo,TX,79106,1,"Public, 2",1555,3376,4931,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7108,229337003,Texas Tech University Health Sciences Center,El Paso HSC Campus,4800 Alberta Avenue,El Paso,TX,79905,1,"Public, 2",1555,3376,4931,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7109,229337004,Texas Tech University Health Sciences Center,Permian Basin HSC Campus,800 West 4th Street,Odessa,TX,79763,1,"Public, 2",1555,3376,4931,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7110,229337005,Texas Tech University Health Sciences Center,Abilene HSC Campus,302 Pine Street,Abilene,TX,79601,1,"Public, 2",1555,3376,4931,0,0,0,0,1,0,0,0,0,1,1,1,1,2
7111,229337006,Texas Tech University Health Sciences Center,Dallas HSC Campus,"5920 Forest Park Lane, STE 400",Dallas,TX,75235,1,"Public, 2",1555,3376,4931,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7146,229799001,Weatherford College,Weatherford College,225 COLLEGE PARK DRIVE,WEATHERFORD,TX,760865699,4,"Public, 1",2046,3567,5613,0,0,0,0,0,0,1,0,0,1,1,1,1,1
7147,229814001,West Texas A & M University,Main Campus,2501 4TH AVE WTAMU BOX 60999,CANYON,TX,79016,1,"Public, 2",3972,5000,8972,0,0,9,0,1,7,0,0,6,1,1,1,1,2
7148,229832001,Western Texas College,Western Texas College,6200 COLLEGE AVE,SNYDER,TX,795499502,4,"Public, 1",1026,1041,2067,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7156,230038001,Brigham Young University-Provo,Brigham Young University (230038),Brigham Young University,PROVO,UT,846026201,2,"Private nonprofit, 2",16804,13680,30484,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7175,230597001,Snow College,Main Campus,150 E COLLEGE AVE,EPHRAIM,UT,84627,1,"Public, 2",2098,2681,4779,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7176,230597002,Snow College,SNOW COLLEGE-RICHFIELD CAMPUS,800 W 200 S,RICHFIELD,UT,84701,1,"Public, 2",2098,2681,4779,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7177,230603001,Southern Utah University,Southern Utah University,351 West University Blvd.,CEDAR CITY,UT,84720,1,"Public, 2",3431,4225,7656,0,0,0,0,0,2,0,0,2,1,1,1,1,2
7183,230728001,Utah State University,Main Campus,OLD MAIN HILL,LOGAN,UT,843221400,1,"Public, 2",12704,14958,27662,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7214,230764001,University of Utah,Main Campus,"201 PRESIDENTS CIRCLE, Rm 203",SALT LAKE CITY,UT,841129008,1,"Public, 2",17487,14028,31515,0,2,16,0,1,1,0,1,10,1,1,1,1,2
7215,230782001,Weber State University,Ogden Campus,3750 HARRISON BLVD,OGDEN,UT,844081137,1,"Public, 2",12088,13866,25954,0,2,0,0,0,0,0,0,0,1,1,1,1,2
7217,230807001,Westminster College,Main Campus,1840 S 1300 E,SALT LAKE CITY,UT,84105,2,"Private nonprofit, 2",1362,1629,2991,0,0,0,0,0,1,0,0,0,1,1,1,2,2
7218,230816001,Bennington College,Main Campus,One College Drive,Bennington,VT,52016001,2,"Private nonprofit, 2",247,508,755,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7220,230834001,Castleton State College,Main Campus,SEMINARY ST.,CASTLETON,VT,5735,1,"Public, 2",1005,1178,2183,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7221,230852001,Champlain College,Main Campus,246 S WILLARD ST,BURLINGTON,VT,5401,2,"Private nonprofit, 2",2090,1495,3585,0,0,1,0,0,0,0,0,0,1,1,1,2,2
7229,230913001,Johnson State College,Johnson State College,337 College Hill,JOHNSON,VT,56569464,1,"Public, 2",548,1065,1613,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7232,230959001,Middlebury College,Main Campus,OLD CHAPEL ROAD,MIDDLEBURY,VT,5753,2,"Private nonprofit, 2",1222,1311,2533,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7233,230959002,Middlebury College,Middlebury College Bread Loaf Campus,"Route 125, Ripton, VT",Ripton,VT,5766,2,"Private nonprofit, 2",1222,1311,2533,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7236,230995001,Norwich University,Main Campus,158 Harmon Drive,NORTHFIELD,VT,56631035,2,"Private nonprofit, 2",2927,745,3672,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7239,231059001,Saint Michael's College,Main Campus,1 WINOOSKI PARK,COLCHESTER,VT,5439,2,"Private nonprofit, 2",1074,1544,2618,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7240,231068001,SIT Graduate Institute,Main Campus,1 Kipling Road,BRATTLEBORO,VT,53020676,2,"Private nonprofit, 2",139,275,414,0,1,0,0,0,0,0,0,0,1,1,1,2,2
7243,231086001,Southern Vermont College,Main Campus,982 MANSION DR,BENNINGTON,VT,52016002,2,"Private nonprofit, 2",176,281,457,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7244,231095001,Sterling College,Main Campus,16 Sterling Drive,CRAFTSBURY COMMON,VT,58270072,2,"Private nonprofit, 2",67,54,121,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7245,231147001,Vermont Law School,Main Campus,164 CHELSEA ST,SOUTH ROYALTON,VT,50680096,2,"Private nonprofit, 2",262,380,642,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7246,231165001,Vermont Technical College,Main Campus,1 Main Street,Randolph Center,VT,50610500,1,"Public, 2",826,716,1542,0,0,3,0,0,0,0,0,0,1,1,1,1,2
7247,231174001,University of Vermont,Main Campus,85 S PROSPECT ST,BURLINGTON,VT,54050160,1,"Public, 2",5712,7144,12856,0,0,0,0,0,0,0,1,0,1,1,1,1,2
7254,231554001,Bluefield College,Main Campus,3000 COLLEGE DR,BLUEFIELD,VA,24605,2,"Private nonprofit, 2",400,544,944,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7255,231581001,Bridgewater College,Main Campus,402 E COLLEGE ST,BRIDGEWATER,VA,228121599,2,"Private nonprofit, 2",823,962,1785,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7256,231624001,College of William and Mary,Main Campus,PO Box 8795,WILLIAMSBURG,VA,231878795,1,"Public, 2",3738,4699,8437,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7258,231624003,College of William and Mary,DC Campus,1779 Massachusetts Avenue Suite 715,Washington,DC,20036,1,"Public, 2",3738,4699,8437,0,2,0,0,2,0,0,0,0,1,1,1,1,2
7268,231712001,Christopher Newport University,Main Campus,1 Avenue of the Arts,NEWPORT NEWS,VA,236062998,1,"Public, 2",2224,2997,5221,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7272,231837001,Jefferson College of Health Sciences,JCHS Main Campus,101 Elm Avenue SE,ROANOKE,VA,24013,2,"Private nonprofit, 2",228,903,1131,0,0,1,0,0,0,0,0,0,1,1,1,2,2
7274,231882001,Danville Community College,Main Campus,1008 S MAIN ST,DANVILLE,VA,245414004,4,"Public, 1",1774,2208,3982,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7275,231970001,Eastern Virginia Medical School,Main Campus,721 Fairfax Ave.,NORFOLK,VA,235071696,1,"Public, 2",455,594,1049,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7277,232025001,Emory & Henry College,Main Campus,30461 Garnand Drive,Emory,VA,243270947,2,"Private nonprofit, 2",516,522,1038,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7278,232043001,Eastern Mennonite University,Main Campus,1200 PARK RD,HARRISONBURG,VA,228022462,2,"Private nonprofit, 2",579,1116,1695,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7280,232089001,Ferrum College,Ferrum College,215 Ferrum Mountain Road,FERRUM,VA,240889000,2,"Private nonprofit, 2",766,685,1451,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7281,232186001,George Mason University,Main Campus,4400 UNIVERSITY DR,FAIRFAX,VA,220304444,1,"Public, 2",15606,18123,33729,0,0,1,0,0,1,0,3,0,1,1,1,1,2
7292,232256001,Hampden-Sydney College,Main Campus,"College Road, Box 128",Hampden-Sydney,VA,239430128,2,"Private nonprofit, 2",1103,2,1105,0,0,0,0,0,2,0,0,0,1,1,1,2,2
7293,232265001,Hampton University,Main Campus,EAST QUEEN STREET,HAMPTON,VA,236680099,2,"Private nonprofit, 2",1535,2858,4393,4,4,3,1,4,9,1,9,10,1,1,1,2,2
7295,232308001,Hollins University,Hollins University,7916 WILLIAMSON RD NW,ROANOKE,VA,24020,2,"Private nonprofit, 2",40,730,770,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7299,232423001,James Madison University,Main Campus-Harrisonburg,821 South Main Street  MSC 6810,HARRISONBURG,VA,22807,1,"Public, 2",8427,12428,20855,0,1,1,0,0,0,0,1,4,1,1,1,1,2
7308,232557001,Liberty University,Main Campus,1971 UNIVERSITY BLVD,LYNCHBURG,VA,24502,2,"Private nonprofit, 2",33130,48329,81459,0,0,0,1,0,0,0,0,0,1,1,1,2,2
7309,232566001,Longwood University,Main Campus,201 HIGH ST Lancaster Hall,FARMVILLE,VA,23909,1,"Public, 2",1623,3473,5096,0,1,3,1,3,3,0,2,2,1,1,1,1,2
7310,232566002,Longwood University,Longwood University at Martinsville,30 Franklin Street,Martinsville,VA,24112,1,"Public, 2",1623,3473,5096,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7311,232566003,Longwood University,Longwood  University at South Boston,820 Bruce Street,South Boston,VA,23909,1,"Public, 2",1623,3473,5096,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7318,232681001,University of Mary Washington,University of Mary Washington,1301 COLLEGE AVE,FREDERICKSBURG,VA,224015358,1,"Public, 2",1575,2960,4535,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7323,232788001,Mountain Empire Community College,Main Campus,U.S. Highway 23 South,BIG STONE GAP,VA,242190700,4,"Public, 1",1053,1665,2718,0,0,0,0,1,0,0,2,0,1,1,1,1,1
7339,232946001,Northern Virginia Community College,Annandale Campus,4001 WAKEFIELD CHAPEL RD,ANNANDALE,VA,220033796,4,"Public, 1",24981,26506,51487,4,24,6,1,29,26,7,25,2,1,1,1,1,1
7340,232946002,Northern Virginia Community College,Alexandria Campus,3001 N. Beauregard Street,Alexandria,VA,22311,4,"Public, 1",24981,26506,51487,5,49,11,8,27,8,14,50,17,1,1,1,1,1
7341,232946003,Northern Virginia Community College,Loudoun Campus,1000 Harry Flood Byrd Highway,Sterling,VA,20164,4,"Public, 1",24981,26506,51487,4,18,2,1,19,6,3,13,2,1,1,1,1,1
7342,232946004,Northern Virginia Community College,Manassas Campus,6901 Sudley Road,Manassas,VA,20109,4,"Public, 1",24981,26506,51487,5,35,4,0,20,2,3,26,3,1,1,1,1,1
7343,232946005,Northern Virginia Community College,Woodbridge Campus,15200 Neabsco Mills Road,Woodbridge,VA,22191,4,"Public, 1",24981,26506,51487,0,10,0,2,6,0,1,7,0,1,1,1,1,1
7344,232946006,Northern Virginia Community College,Medical Education Campus,6699 Springfield Drive,Springfield,VA,221501913,4,"Public, 1",24981,26506,51487,0,0,0,0,1,0,0,0,0,1,1,1,1,1
7345,232946007,Northern Virginia Community College,Innovation Park,9485 Innovation Drive,Manassas,VA,20110,4,"Public, 1",24981,26506,51487,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7346,232946008,Northern Virginia Community College,Reston Center,1831 Wiehle Ave,Reson,VA,20190,4,"Public, 1",24981,26506,51487,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7347,232946009,Northern Virginia Community College,Arlington Center,4600 North Fairfax Drive,Arlington,VA,22203,4,"Public, 1",24981,26506,51487,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7348,232946010,Northern Virginia Community College,ELI/ Fairfax,3922 Pender Drive,Fairfax,VA,22030,4,"Public, 1",24981,26506,51487,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7349,232946011,Northern Virginia Community College,Pitney Bowes Building,7630 Little River Turnpike,Annandale,VA,22003,4,"Public, 1",24981,26506,51487,0,4,3,0,0,0,0,6,1,1,1,1,1,1
7350,232946012,Northern Virginia Community College,"Fort Belvoir, Barden Education Center",9625 Belvoir Rd.,Belvoir,VA,22060,4,"Public, 1",24981,26506,51487,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7351,232946013,Northern Virginia Community College,Fort Myer/ Henderson Hall,1555 Southgate Rd. Building 29,Arlington,VA,22214,4,"Public, 1",24981,26506,51487,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7352,232946014,Northern Virginia Community College,Quantico Marine Base Education Center,3088 Roan Street,Quantico,VA,22134,4,"Public, 1",24981,26506,51487,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7353,232982001,Old Dominion University,Old Dominion University,5215 HAMPTON BLVD,NORFOLK,VA,23529,1,"Public, 2",11214,13718,24932,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7354,233019001,Patrick Henry Community College,Main Campus,645 Patriot Avenue,Martinsville,VA,24112,4,"Public, 1",1163,1690,2853,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7359,233116001,Piedmont Virginia Community College,MAIN CAMPUS,501 COLLEGE DR,CHARLOTTESVILLE,VA,229027589,4,"Public, 1",2346,3208,5554,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7361,233277001,Radford University,Main Campus,801 East Main St.,RADFORD,VA,24142,1,"Public, 2",4154,5644,9798,0,0,0,0,0,0,0,2,3,1,1,1,1,2
7368,233310001,Rappahannock Community College,Glenns Campus,12745 College Drive,Glenns,VA,231492616,4,"Public, 1",1338,2231,3569,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7374,233374001,University of Richmond,Main Campus,28 WESTHAMPTON WAY,RICHMOND,VA,23173,2,"Private nonprofit, 2",1913,2269,4182,0,0,0,0,0,0,0,3,2,1,1,1,2,2
7380,233639001,Southside Virginia Community College,Christanna campus,109 CAMPUS DR,ALBERTA,VA,23821,4,"Public, 1",1933,3419,5352,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7381,233648001,Southwest Virginia Community College,Main Campus,P.O. Box SVCC,RICHLANDS,VA,246411101,4,"Public, 1",1001,1545,2546,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7395,233718001,Sweet Briar College,Main Campus,RTE 29,SWEET BRIAR,VA,245959998,2,"Private nonprofit, 2",25,675,700,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7396,233754001,Thomas Nelson Community College,Main Campus,99 Thomas Nelson Drive,Hampton,VA,23666,4,"Public, 1",4195,6241,10436,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7399,233772003,Tidewater Community College,Regional Workforce Solutions Center,7000 College Drive,Suffolk,VA,234352656,4,"Public, 1",11211,16435,27646,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7400,233772004,Tidewater Community College,Virginia Beach Campus,1700 College Cresent,Virginia Beach,VA,234531918,4,"Public, 1",11211,16435,27646,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7408,233921001,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State Univ,330 Sterrett Drive,BLACKSBURG,VA,240610131,1,"Public, 2",17983,13241,31224,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7421,233949001,Virginia Western Community College,Main Campus,"3095 Colonial Avenue, SW",Roanoke,VA,24015,4,"Public, 1",3872,4760,8632,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7422,234030001,Virginia Commonwealth University,Monroe Park Campus,910 W Franklin St,Richmond,VA,232842024,1,"Public, 2",12985,17863,30848,0,0,0,1,0,0,0,0,0,1,1,1,1,2
7423,234030002,Virginia Commonwealth University,MCV Campus,910 W. Franklin St.,Richmond,VA,232842024,1,"Public, 2",12985,17863,30848,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7426,234076001,University of Virginia-Main Campus,Main Campus,1827 University Ave,CHARLOTTESVILLE,VA,22904,1,"Public, 2",10907,12825,23732,0,0,0,0,1,2,0,0,0,1,1,1,1,2
7432,234085001,Virginia Military Institute,Virginia Military Institute,Letcher Ave.,LEXINGTON,VA,244500304,1,"Public, 2",1512,188,1700,0,1,0,0,0,0,0,0,0,1,1,1,1,2
7434,234137001,Virginia University of Lynchburg,Main Campus,2058 GARFIELD AVE,LYNCHBURG,VA,24501,2,"Private nonprofit, 2",178,146,324,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7439,234207001,Washington and Lee University,Main Campus,204 West Washington Street,LEXINGTON,VA,24450,2,"Private nonprofit, 2",1155,1109,2264,0,0,0,0,0,0,0,0,0,1,1,1,2,2
7442,234377001,Wytheville Community College,Wytheville Community College Main Campus,1000 E MAIN ST,WYTHEVILLE,VA,243823308,4,"Public, 1",1276,2026,3302,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7448,234696001,Bellingham Technical College,Main Campus,3028 Lindbergh Avenue,Bellingham,WA,982251599,4,"Public, 1",1176,1125,2301,0,0,0,0,0,0,0,1,0,1,1,1,1,1
7452,234827001,Central Washington University,Central Washington University,400 East University Way,Ellensburg,WA,989267501,1,"Public, 2",5652,6147,11799,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7460,234845001,Centralia College,Main Campus,600 Centralia College Blvd.,Centralia,WA,985314099,1,"Public, 2",1402,1915,3317,0,0,0,0,0,0,0,0,0,1,1,1,1,2
7481,235097001,Eastern Washington University,EWU Main Campus,526 5th Street,CHENEY,WA,990042496,1,"Public, 2",5971,7482,13453,0,5,6,0,1,11,0,0,0,1,1,1,1,2
7482,235103001,Edmonds Community College,Main Campus,20000 68TH AVE W,LYNNWOOD,WA,980365999,4,"Public, 1",4301,4692,8993,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7483,235149001,Everett Community College,Everett Community College,2000 Tower Street,Everett,WA,982011390,4,"Public, 1",3337,4179,7516,0,0,0,0,0,0,0,0,0,1,1,1,1,1
